gate_group,model_id,variable,group,question,expected_sign,coef_21d,t_hac_21d,coef_63d,t_hac_63d,coef_126d,t_hac_126d,nonoverlap_coef_63d,nonoverlap_t_63d,active_n_63d,nonoverlap_active_n_63d,direction_63_ok,adjacent_horizon_direction_ok,nonoverlap_direction_ok,economic_effect_63d,economic_magnitude_ok,coverage_ok,raw_pass,resid_coef_63d,resid_t_63d,resid_nonoverlap_coef_63d,resid_pass,resid_economic_magnitude_ok,resid_coverage_ok,final_pass
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_d,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × SPY drawdown depth: -z(SPY drawdown),1.0,0.0016547529957320702,0.38004980384396314,0.009770302201217256,1.4449562221524292,0.008052358548311205,0.8633273791076842,0.029075407925922673,1.1225919140448835,4984,37,True,True,True,0.009770302201217256,False,True,False,0.009712695399272397,1.3151718510639283,0.03176720810227626,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_vh,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × High VIX: z(VIX 3Y percentile),1.0,0.0029824485401681936,0.9861647504354599,0.009373170502720069,1.905822394090549,0.016890057997756596,2.2287877883404206,0.010094881182023594,0.46721492768497286,4780,37,True,True,True,0.009373170502720069,False,True,False,0.010478571533863832,2.0288668304186253,0.01631167894373762,True,True,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_vr,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × VIX relief: -z(VIX 21d change),,-0.0008575904006550984,-0.48450574178735867,-0.004174788283732013,-1.447421276242932,-0.007655511802030363,-3.0892089042178035,-0.017310140203168126,-0.8038089585013788,5010,37,,,,-0.004174788283732013,False,True,False,-0.003245131764412,-1.1954056817140621,-0.020614399148252707,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_g63,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × G-D trailing 63d relative strength,,0.0005439842479950622,0.162830109973855,0.0018134612082333767,0.443719408719724,-0.003836964030498402,-0.6022159752661149,0.016859930481528552,0.76559637969297,2300,36,,,,0.0018134612082333767,False,True,False,0.0016934207840892089,0.41167643936054915,0.010343151295271016,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_g126,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × G-D trailing 126d relative strength,,-0.0015365367195234244,-0.42765602504414496,-0.002384935219107907,-0.49420332825973234,0.002205321308804452,0.29362421502672875,-0.0010344046254072842,-0.02988621279131087,2237,35,,,,-0.002384935219107907,False,True,False,-0.001064897341397591,-0.1956694953873702,-0.00909509687171562,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_cs,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit stress level: z(BAA-10Y spread),1.0,0.008441882305944854,1.5723382940093285,0.017086026294573353,1.5053513500244018,0.023145091722050495,2.162876099256068,0.02457525410655813,0.4712982613080046,5010,37,True,True,True,0.017086026294573353,True,True,True,0.020737768725296597,2.355490951408223,0.0296899824917646,True,True,True,True
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_ce,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit relief: -z(BAA-10Y spread 21d change),,-0.00019779807904932232,-0.07784139187869969,-0.0047337285590384175,-1.197638021840012,-0.004375177981404648,-1.5063167201295844,-0.04790598544590344,-1.37671116711066,5010,37,,,,-0.0047337285590384175,False,True,False,-0.005047640617587737,-1.288542582880922,-0.05239015770285323,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_cg,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit quality gap: z(BAA spread - AAA spread),,0.0019993422709879095,0.3393368110511347,-2.0292560408279123e-05,-0.0018840206923132223,0.002068664752163476,0.17487130048537036,0.02132690924740828,0.5076431081422038,5010,37,,,,-2.0292560408279123e-05,False,True,False,0.003577994062550458,0.3533783894471445,0.03339764437924389,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_hys,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × HY ETF stress: z(HYG 252d drawdown depth),1.0,0.0027918017906089342,1.5831187575859018,0.0054940676325058195,1.902276097609588,0.0038128829175915696,0.7939153552496716,0.017843491663789506,1.5954133989090675,3490,37,True,True,True,0.0054940676325058195,False,True,False,0.003613242297190656,1.0695955798136558,0.019468851021805948,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_hyr,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × HY ETF relief: z(HYG/LQD 21d relative return),,0.0038215133023843436,1.9637998864298047,0.0005079627867225226,0.18137455228101199,-0.010539018285030045,-2.3386146780449013,0.008627630950604776,0.320874957972597,3594,37,,,,0.0005079627867225226,False,True,False,0.0017610491990689712,0.6817894026675585,0.00709029468279145,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,r_x_lqs,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × IG credit stress: z(LQD/SHY 21d weakness),1.0,0.002958661468617619,2.3035914294449142,0.006184789567595729,2.3068294189860907,0.0047693738421581205,1.6332081669017935,0.03348486028013188,2.0928798055741327,3594,37,True,True,True,0.006184789567595729,False,True,False,0.004867976225564828,1.8521611860730782,0.035447654423534224,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_vh,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × High VIX: z(VIX 3Y percentile),,0.0021767497763543163,0.3192215794913972,0.007166147224707616,0.45635553944228613,0.012406110886317583,0.5554277803725466,-0.06094576190978551,-1.589437590300841,4754,37,,,,0.007166147224707616,False,True,False,0.008437535013563435,0.555650629999805,-0.05093492114187862,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_vr,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × VIX relief: -z(VIX 21d change),1.0,-0.0024389593627435276,-0.8952716030064223,-0.005739151999415219,-1.0844563699741843,-0.0042607904026595485,-0.5070733144257401,-0.008367188837087938,-0.22281605242562844,4984,37,False,False,False,-0.005739151999415219,False,True,False,-0.003022734628766395,-0.5690396556671171,-0.015606457914791524,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_g63,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × G-D trailing 63d relative strength,,-0.004621116582175281,-1.006568422605935,-0.0014922979235919061,-0.10978367012520532,-0.0010028891676126801,-0.04793007408193799,0.012542580172021927,0.4407855401695009,2300,36,,,,-0.0014922979235919061,False,True,False,-0.002000924756040337,-0.14531045777898352,0.015163931623358043,False,False,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_g126,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × G-D trailing 126d relative strength,,-0.0024331899112140292,-0.4147252877319636,0.018991867704232696,1.5954138821605712,0.048443730014474475,4.12211332644254,0.03830565902748158,1.043844084481623,2237,35,,,,0.018991867704232696,True,True,False,0.017139986926989727,1.4017621757239311,0.040861155646578315,False,True,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_cs,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit stress level: z(BAA-10Y spread),,0.014264237956502489,1.6693580126007423,0.04455636074282445,2.664493223264095,0.043805632545007016,2.746223099558274,0.07895929494327353,1.102435372393762,5005,37,,,,0.04455636074282445,True,True,False,0.03990033980781053,2.456977654577075,0.08945489187453488,False,True,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_ce,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit relief: -z(BAA-10Y spread 21d change),1.0,-0.007154038105135908,-1.8146893669766748,-0.018510060987604302,-2.452553845393173,-0.008578446331060852,-0.9526164506658431,-0.0427542934902498,-1.8775373970893339,4984,37,False,False,False,-0.018510060987604302,True,True,False,-0.017872741561751473,-2.3433578321616673,-0.045742976719899166,False,True,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_cg,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit quality gap: z(BAA spread - AAA spread),,0.004581198384533773,0.47158249105053357,0.04221977374466415,2.0304016036798163,0.06910714870986631,2.0662477158553227,0.03783054693910713,0.38648195734470703,5005,37,,,,0.04221977374466415,True,True,False,0.04548739201866939,2.2179937958562936,0.04646950475289223,False,True,True,False
step2_raw_interaction_gate,step2_step3_interaction_with_main_controls,d_x_hys,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × HY ETF stress: z(HYG 252d drawdown depth),,0.004607907572426679,0.8070568839166207,0.010195567536867029,0.8655672418640331,0.02469932479240053,1.6749509983190924,-0.010379796865151164,-0.31802236916682886,3489,37,,,,0.010195567536867029,True,True,False,0.009193336549337051,0.7911424352396683,-0.015275007327346744,False,False,True,False
